goos: darwin
goarch: arm64
pkg: github.com/jongio/grut/internal/ai
cpu: Apple M1 (Virtual)
BenchmarkScrubPII/small_100B-3  	  112470	     10858 ns/op	     913 B/op	      17 allocs/op
BenchmarkScrubPII/medium_1KB-3  	    6735	    183254 ns/op	   12172 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-3  	    6487	    188411 ns/op	   12172 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-3  	    6440	    185698 ns/op	   12190 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-3  	    6568	    194642 ns/op	   12166 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-3  	    6652	    179519 ns/op	   12172 B/op	      27 allocs/op
BenchmarkScrubPII/medium_1KB-3  	    6758	    187079 ns/op	   12177 B/op	      27 allocs/op
BenchmarkScrubPII/large_10KB-3  	     537	   2341799 ns/op	  233184 B/op	      80 allocs/op
BenchmarkScrubPII/large_10KB-3  	     446	   2392608 ns/op	  233637 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-3  	     513	   2340982 ns/op	  233566 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-3  	     516	   2470994 ns/op	  233629 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-3  	     454	   2405350 ns/op	  233157 B/op	      79 allocs/op
BenchmarkScrubPII/large_10KB-3  	     490	   2562134 ns/op	  232981 B/op	      79 allocs/op
BenchmarkScrubPII_NoSecrets/100B-3         	   58650	     20154 ns/op	    1201 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-3         	   60636	     20168 ns/op	    1200 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-3         	   62406	     19364 ns/op	    1202 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-3         	   65377	     18921 ns/op	    1200 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-3         	   61624	     19637 ns/op	    1200 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/100B-3         	   62546	     19461 ns/op	    1201 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-3          	    6447	    209661 ns/op	   10332 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-3          	    5502	    199079 ns/op	   10327 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-3          	    6283	    197079 ns/op	   10327 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-3          	    6302	    184681 ns/op	   10321 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-3          	    6760	    184604 ns/op	   10332 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-3          	    6565	    185420 ns/op	   10326 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-3         	     559	   2236042 ns/op	  103123 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-3         	     529	   2267589 ns/op	  103298 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-3         	     546	   2354245 ns/op	  103219 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-3         	     496	   2242382 ns/op	  103277 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-3         	     542	   2219892 ns/op	  103006 B/op	      15 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-3         	     555	   2298451 ns/op	  103340 B/op	      15 allocs/op
BenchmarkScrubLogTail/10_entries-3         	   10000	    104998 ns/op	    9295 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-3         	   10000	    101767 ns/op	    9303 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-3         	   10000	    104973 ns/op	    9292 B/op	     171 allocs/op
BenchmarkScrubLogTail/10_entries-3         	   10000	    105974 ns/op	    9295 B/op	     171 allocs/op
