goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkRedactContent/medium_5KB-32 	     757	   1665619 ns/op	  127371 B/op	     106 allocs/op
BenchmarkRedactContent/large_50KB-32 	      67	  18545081 ns/op	 1652293 B/op	     605 allocs/op
BenchmarkRedactContent/large_50KB-32 	      68	  18265994 ns/op	 1652812 B/op	     608 allocs/op
BenchmarkRedactContent/large_50KB-32 	      67	  18233586 ns/op	 1652485 B/op	     606 allocs/op
BenchmarkRedactContent/large_50KB-32 	      68	  18159769 ns/op	 1651975 B/op	     603 allocs/op
BenchmarkRedactContent/large_50KB-32 	      70	  17983586 ns/op	 1652001 B/op	     603 allocs/op
BenchmarkRedactContent/large_50KB-32 	      66	  17560261 ns/op	 1651776 B/op	     602 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   14511	     86340 ns/op	       2 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   13483	     86048 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    100040 ns/op	       4 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   10000	    103063 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   13861	     82488 ns/op	       3 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/small_500B-32         	   14294	     82695 ns/op	       0 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	    1237	    964174 ns/op	      84 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	    1298	    983981 ns/op	      80 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	    1188	    976356 ns/op	      56 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	    1237	    964615 ns/op	       7 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	    1172	    965908 ns/op	      45 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/medium_5KB-32         	    1249	    952179 ns/op	      72 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	     100	  10962340 ns/op	      48 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	     100	  11289416 ns/op	     116 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	     100	  10806780 ns/op	     116 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	     100	  11064872 ns/op	     116 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	     100	  11087908 ns/op	     116 B/op	       0 allocs/op
BenchmarkRedactContent_NoMatch/large_50KB-32         	     100	  10698647 ns/op	     116 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	27237895	        45.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	26907034	        45.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	26264436	        44.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	25868078	        43.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	25508067	        45.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_builtin-32          	26141593	        44.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  823558	      1556 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  686035	      1660 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  709044	      1705 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  796645	      1587 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  662041	      1790 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/match_user_pattern-32     	  761886	      1696 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1087 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1054 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1071 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	  980959	      1068 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1026 ns/op	       0 B/op	       0 allocs/op
BenchmarkShouldExcludeFile/no_match-32               	 1000000	      1041 ns/op	       0 B/op	       0 allocs/op
BenchmarkNewRedactor-32                              	   19364	     59631 ns/op	  114247 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	   19990	     60216 ns/op	  114244 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	   19870	     61478 ns/op	  114244 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	   19675	     61030 ns/op	  114244 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	   19986	     59437 ns/op	  114246 B/op	     699 allocs/op
BenchmarkNewRedactor-32                              	   19039	     58859 ns/op	  114245 B/op	     699 allocs/op
PASS
ok  	github.com/jongio/grut/internal/ai	85.008s
goos: linux
goarch: amd64
pkg: github.com/jongio/grut/internal/config
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkValidate/valid_defaults-32         	 1000000	      1220 ns/op	     779 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	 1009012	      1189 ns/op	     780 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	  941049	      1145 ns/op	     779 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	 1000000	      1239 ns/op	     780 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	  911511	      1704 ns/op	     780 B/op	      16 allocs/op
BenchmarkValidate/valid_defaults-32         	  392920	      3231 ns/op	     780 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	  123754	     13274 ns/op	     780 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	  108973	     11188 ns/op	     780 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	   95175	     11858 ns/op	     780 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	  109826	     11378 ns/op	     780 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	   87072	     12236 ns/op	     781 B/op	      16 allocs/op
BenchmarkValidate/with_arrays-32            	   88360	     15602 ns/op	     779 B/op	      16 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  138853	      7256 ns/op	    1999 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  198420	      6986 ns/op	    2003 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  142087	      7689 ns/op	    2003 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  154824	      7298 ns/op	    2006 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  164912	      7195 ns/op	    2003 B/op	      55 allocs/op
BenchmarkValidate/invalid_multi_error-32    	  176376	      6865 ns/op	    2004 B/op	      55 allocs/op
BenchmarkParseDefaultsTOML-32               	   33793	     30683 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   37542	     30531 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   39915	     30672 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   43986	     27322 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   44805	     28528 ns/op	   21648 B/op	     105 allocs/op
BenchmarkParseDefaultsTOML-32               	   40504	     27619 ns/op	   21648 B/op	     105 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1498152	       955.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1482844	       772.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1543149	       782.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1476248	       816.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1482324	       824.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRejectEmbeddedKeys/clean_config-32 	 1462320	       792.4 ns/op	       0 B/op	       0 allocs/op
