goos: windows
goarch: amd64
pkg: github.com/jongio/grut/internal/git
cpu: 13th Gen Intel(R) Core(TM) i9-13900K
BenchmarkScrubPII/medium_1KB-32   	    6732	    187077 ns/op	   12471 B/op	      31 allocs/op
BenchmarkScrubPII/large_10KB-32   	     477	   2562081 ns/op	  235766 B/op	      84 allocs/op
BenchmarkScrubPII/large_10KB-32   	     448	   2463305 ns/op	  236015 B/op	      84 allocs/op
BenchmarkScrubPII/large_10KB-32   	     439	   2629107 ns/op	  236821 B/op	      85 allocs/op
BenchmarkScrubPII/large_10KB-32   	     583	   2286656 ns/op	  236442 B/op	      84 allocs/op
BenchmarkScrubPII/large_10KB-32   	     524	   2469384 ns/op	  236410 B/op	      84 allocs/op
BenchmarkScrubPII/large_10KB-32   	     465	   2384728 ns/op	  235712 B/op	      84 allocs/op
BenchmarkScrubPII_NoSecrets/100B-32         	   53778	     18611 ns/op	    1473 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/100B-32         	   59238	     19881 ns/op	    1479 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/100B-32         	   74942	     14115 ns/op	    1479 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/100B-32         	   85022	     15017 ns/op	    1479 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/100B-32         	   75270	     15152 ns/op	    1482 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/100B-32         	   75300	     14991 ns/op	    1478 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-32          	    7458	    146854 ns/op	   10636 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-32          	    8997	    138473 ns/op	   10633 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-32          	    8390	    138844 ns/op	   10618 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-32          	    9273	    138618 ns/op	   10648 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-32          	    9081	    142682 ns/op	   10617 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/1KB-32          	    7437	    147319 ns/op	   10641 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-32         	     680	   1725336 ns/op	  104446 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-32         	     705	   1757401 ns/op	  104366 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-32         	     703	   1699145 ns/op	  104389 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-32         	     715	   1687831 ns/op	  104504 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-32         	     729	   1743112 ns/op	  104414 B/op	      19 allocs/op
BenchmarkScrubPII_NoSecrets/10KB-32         	     699	   1699056 ns/op	  104419 B/op	      19 allocs/op
BenchmarkScrubLogTail/10_entries-32         	   14757	     81977 ns/op	   12078 B/op	     211 allocs/op
BenchmarkScrubLogTail/10_entries-32         	   10000	    103580 ns/op	   12054 B/op	     211 allocs/op
BenchmarkScrubLogTail/10_entries-32         	   10000	    101666 ns/op	   12077 B/op	     211 allocs/op
BenchmarkScrubLogTail/10_entries-32         	   10000	    125353 ns/op	   12073 B/op	     211 allocs/op
BenchmarkScrubLogTail/10_entries-32         	   10578	    107195 ns/op	   12059 B/op	     211 allocs/op
BenchmarkScrubLogTail/10_entries-32         	   10000	    110829 ns/op	   12028 B/op	     211 allocs/op
BenchmarkScrubLogTail/50_entries-32         	    2149	    544468 ns/op	   60330 B/op	    1051 allocs/op
